rank,finalWorth,category,personName,age,country,city,source,gender,title,population_country
1,211000,Fashion & Retail,Bernard Arnault & family,74,France,Paris,LVMH,M,Chairman and CEO,67059887
2,180000,Automotive,Elon Musk,51,United States,Austin,"Tesla, SpaceX",M,CEO,328239523
3,114000,Technology,Jeff Bezos,59,United States,Medina,Amazon,M,Chairman and Founder,328239523
4,107000,Technology,Larry Ellison,78,United States,Lanai,Oracle,M,CTO and Founder,328239523
5,106000,Finance & Investments,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,M,CEO,328239523
6,104000,Technology,Bill Gates,67,United States,Medina,Microsoft,M,Cochair,328239523
7,94500,Media & Entertainment,Michael Bloomberg,81,United States,New York,Bloomberg LP,M,CEO,328239523
8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecom,M,Honorary Chairman,126014024
9,83400,Diversified,Mukesh Ambani,65,India,Mumbai,Diversified,M,Founder and Chairman,1366417754
10,80700,Technology,Steve Ballmer,67,United States,Hunts Point,Microsoft,M,Owner,328239523
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,Paris,L'Oréal,F,,67059887
12,79200,Technology,Larry Page,50,United States,Palo Alto,Google,M,Cofounder and board member,328239523
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,La Coruna,Zara,M,,47076781
14,76000,Technology,Sergey Brin,49,United States,Los Altos,Google,M,Cofounder and board member,328239523
15,68000,Food & Beverage,Zhong Shanshan,68,China,Hangzhou,"Beverages, pharmaceuticals",M,,1397715000
16,64400,Technology,Mark Zuckerberg,38,United States,Palo Alto,Facebook,M,Cofounder,328239523
17,59000,Diversified,Julia Koch & family,60,United States,New York,Koch Industries,F,,328239523
17,59000,Diversified,Charles Koch & family,87,United States,Wichita,Koch Industries,M,Chairman and CEO,328239523
19,58800,Fashion & Retail,Jim Walton,74,United States,Bentonville,Walmart,M,Chairman and CEO,328239523
20,57600,Fashion & Retail,Rob Walton & family,78,United States,Bentonville,Walmart,M,Director,328239523
21,56700,Fashion & Retail,Alice Walton,73,United States,Fort Worth,Walmart,F,Philanthropist,328239523
22,54400,Media & Entertainment,David Thomson & family,65,Canada,Toronto,Media,M,Chairman,36991981
23,50100,Technology,Michael Dell,58,United States,Austin,Dell Technologies,M,Chairman and CEO,328239523
24,47200,Diversified,Gautam Adani,60,India,Ahmedabad,"Infrastructure, commodities",M,,1366417754
25,45100,Fashion & Retail,Phil Knight & family,85,United States,Hillsboro,Nike,M,Chairman,328239523
26,45000,Technology,Zhang Yiming,39,China,Beijing,TikTok,M,Founder,1397715000
27,42900,Fashion & Retail,Dieter Schwarz,83,Germany,Neckarsulm,Retail,M,,83132799
28,40100,Fashion & Retail,François Pinault & family,86,France,Paris,Luxury goods,M,,67059887
29,39100,Logistics,Klaus-Michael Kuehne,85,Switzerland,Schindellegi,Shipping,M,,8574832
30,38900,Food & Beverage,Giovanni Ferrero,58,Belgium,Brussels,"Nutella, chocolates",M,,11484055
31,38300,Food & Beverage,Jacqueline Mars,83,United States,The Plains,"Candy, pet food",F,,328239523
31,38300,Food & Beverage,John Mars,87,United States,Jackson,"Candy, pet food",M,,328239523
33,38000,Diversified,Li Ka-shing,94,Hong Kong,,Diversified,M,Senior Advisor,
34,35300,Technology,Ma Huateng,51,China,Shenzhen,Internet media,M,Chairman and CEO,1397715000
35,35000,Finance & Investments,Ken Griffin,54,United States,Miami,Hedge funds,M,Founder & CEO,328239523
35,35000,Gambling & Casinos,Miriam Adelson & family,77,United States,Las Vegas,Casinos,F,,328239523
37,34700,Food & Beverage,Mark Mateschitz,30,Austria,Salzburg,Red Bull,M,,8877067
38,33400,Automotive,Robin Zeng,54,China,Ningde,Batteries,M,,1397715000
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,M,,126226568
40,32100,Diversified,Len Blavatnik,65,United Kingdom,London,"Music, chemicals",M,,66834405
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,New York,Chanel,M,,328239523
41,31600,Fashion & Retail,Alain Wertheimer,74,United States,New York,Chanel,M,,328239523
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Shipping,F,,8574832
43,31200,Logistics,Gianluigi Aponte,82,Switzerland,Geneva,Shipping,M,,8574832
45,30200,Technology,Colin Zheng Huang,43,China,Shanghai,E-commerce,M,,1397715000
46,29700,Manufacturing,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fasteners,M,,83132799
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,Hong Kong,Real estate,M,,
48,28500,Finance & Investments,Jeff Yass,64,United States,Haverford,"Trading, investments",M,,328239523
49,28100,Finance & Investments,Jim Simons,84,United States,East Setauket,Hedge funds,M,Founder,328239523
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,M,Chairman and CEO,328239523
51,27400,Automotive,Susanne Klatten,60,Germany,Bad Homburg,"BMW, pharmaceuticals",F,,83132799
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Perth,Mining,F,Executive Chairman,25766605
53,26700,Technology,William Ding,51,China,Hangzhou,Online games,M,,1397715000
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mining,M,,126014024
55,25600,Technology,Shiv Nadar,77,India,Delhi,software services,M,,1366417754
56,25500,Energy,Low Tuck Kwong,74,Indonesia,Jakarta,Coal,M,,270203917
57,25300,Finance & Investments,Thomas Peterffy,78,United States,Palm Beach,Discount brokerage,M,,328239523
